"exeid","testcaseid","scripttype","datestamp","exetime","message","output","status"
"EX0034","TC0011","playwright","2025-11-20","10:10:50.873051","Script exited with code 1","--- Starting Test Case: TC0011 ---
Running action: Given the user is on the OrangeHRM login page at 2025-11-20 10:10:40
Action completed: Given the user is on the OrangeHRM login page at 2025-11-20 10:10:47
Running action: When the user enters the username at 2025-11-20 10:10:47
Action completed: When the user enters the username at 2025-11-20 10:10:48
Running action: And the user enters the password at 2025-11-20 10:10:48
Action completed: And the user enters the password at 2025-11-20 10:10:48
Running action: And clicks the login button at 2025-11-20 10:10:48
Action completed: And clicks the login button at 2025-11-20 10:10:48
Running action: Then the user should be redirected to the dashboard at 2025-11-20 10:10:48
Action 'Then the user should be redirected to the dashboard' failed at 2025-11-20 10:10:48 due to: value must be a string or regular expression
Screenshot saved to: test-results\TC0011\failure_20251120_101048.png
DOM snapshot saved to: test-results\TC0011\failure_dom_20251120_101048.html
Browser closed.
","FAILED"
"EX0035","TC0012","playwright","2025-11-20","10:12:36.61011","Script executed successfully","--- Starting Test Case TC0012 ---
Running action: Navigate to OrangeHRM login page at 2025-11-20 10:12:29
Action completed: Navigate to OrangeHRM login page at 2025-11-20 10:12:33
Running action: Enter invalid username at 2025-11-20 10:12:33
Action completed: Enter invalid username at 2025-11-20 10:12:33
Running action: Enter dummy password at 2025-11-20 10:12:33
Action completed: Enter dummy password at 2025-11-20 10:12:33
Running action: Click login button at 2025-11-20 10:12:33
Action completed: Click login button at 2025-11-20 10:12:33
Running action: Verify 'Invalid credentials' error message is displayed at 2025-11-20 10:12:33
Action completed: Verify 'Invalid credentials' error message is displayed at 2025-11-20 10:12:35
--- Test Case TC0012 Passed ---
","SUCCESS"
"EX0036","TC0011","playwright","2025-11-20","16:40:31.501707","Script executed successfully","","SUCCESS"
"EX0037","TC0011","playwright","2025-11-20","16:41:31.43169","Script executed successfully","","SUCCESS"
"EX0038","TC0011","playwright","2025-11-20","16:57:06.750706","Script executed successfully","[2025-11-20 16:56:54] STARTING STEP 1: Given the user is on the OrangeHRM login page
[2025-11-20 16:56:59] COMPLETED STEP 1: Navigated to login page.
[2025-11-20 16:56:59] STARTING STEP 2: When the user enters the username
[2025-11-20 16:57:00] COMPLETED STEP 2: Entered username.
[2025-11-20 16:57:00] STARTING STEP 3: And the user enters the password
[2025-11-20 16:57:00] COMPLETED STEP 3: Entered password.
[2025-11-20 16:57:00] STARTING STEP 4: And clicks the login button
[2025-11-20 16:57:00] COMPLETED STEP 4: Clicked login button.
[2025-11-20 16:57:00] STARTING STEP 5: Then the user should be redirected to the dashboard
[2025-11-20 16:57:05] COMPLETED STEP 5: Redirected to the dashboard successfully.
[2025-11-20 16:57:05] Test Case TC0011 Execution Summary:
[2025-11-20 16:57:05] STATUS: PASSED
","SUCCESS"
"EX0039","TC0011","playwright","2025-11-20","17:15:58.088758","Script executed successfully","","SUCCESS"
"EX0040","TC0011","playwright","2025-11-20","17:18:02.5278","Script executed successfully","","SUCCESS"
"EX0041","TC0011","playwright","2025-11-20","17:49:47.515726","Script executed successfully","","SUCCESS"
"EX0042","TC0011","playwright","2025-11-20","17:56:27.762521","Script executed successfully","","SUCCESS"
"EX0043","TC0012","playwright","2025-11-20","17:57:28.140958","Script executed successfully","","SUCCESS"
